x_loc,y_loc,duration,play_pattern_name,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_technique_name,under_pressure,goal,distance,angle,shot_cone_angle,direct_free_kick,shot_cone,num_players_in_shot_cone,distance_to_nearest_opponent,end_x_loc,end_y_loc,end_z_loc,distance_to_nearest_opponent_na,cone_density,avg_vel,v1,v2,t,est_end_x,est_end_y
111.1,25.5,0.764666,Regular Play,Left Foot,0,0,0,Normal,0,1,17.013524032369077,1.0202965228052645,0.2547119271298513,0,35.59999999999991,0,7.7935871073594845,120.0,37.4,0.2,False,0.0,22.24961490686009,8.900000000000006,11.899999999999999,1.0,120.0,37.4
115.1,28.0,0.332072,Regular Play,Right Foot,0,0,0,Normal,0,0,12.961867149450347,1.1831267484208976,0.2523791831100646,0,19.600000000000023,2,7.569015788066496,119.7,36.2,0.2,False,0.10204081632653049,39.033303468676515,4.6000000000000085,8.200000000000003,1.065217391304347,120.0,36.734782608695646
81.9,51.1,1.7585330000000001,From Throw In,Right Foot,1,0,0,Half Volley,0,1,39.684001814333186,0.2834917203454551,0.19309623704554257,0,152.40000000000003,0,3.6359317925395653,120.0,42.6,2.0,False,0.0,22.566538025918867,38.099999999999994,-8.5,1.0,120.0,42.6
106.4,42.5,0.590475,Regular Play,Right Foot,1,0,0,Volley,0,0,13.827870407260832,0.18179398894804166,0.5556954544214403,0,54.39999999999998,1,8.061017305526645,117.5,43.2,0.2,False,0.018382352941176478,23.418214839342617,11.099999999999994,0.7000000000000028,1.2252252252252254,120.0,43.35765765765766
110.4,42.4,1.0571959999999998,Regular Play,Head,0,0,0,Normal,1,0,9.895453501482379,0.24497866312686414,0.7531512809621946,0,38.39999999999995,0,7.470609078247912,118.6,40.1,2.0,False,0.0,9.36009358858942,8.199999999999989,-2.299999999999997,1.1707317073170742,120.0,39.70731707317073
105.6,20.9,0.7481,Regular Play,Left Foot,1,0,0,Normal,0,0,23.92007525071776,0.9247868620583447,0.20424271031320132,0,57.59999999999991,0,10.538500842150178,119.6,36.9,2.0,False,0.0,31.97443557107039,14.0,16.0,1.028571428571429,120.0,37.35714285714286
112.1,49.2,0.147447,From Free Kick,Right Foot,1,0,0,Lob,0,0,12.126417442921886,0.8612756005229353,0.44935408510530206,1,31.60000000000008,1,20.100995000248115,113.3,48.3,0.9,False,0.03164556962025308,82.24255117379049,1.2000000000000028,-0.9000000000000057,6.583333333333322,120.0,43.27499999999998
105.5,60.3,1.202112,From Throw In,Right Foot,0,0,0,Half Volley,1,0,24.946743274423618,0.9505468408120751,0.18902774042045495,0,58.0,0,7.158910531638178,119.7,43.6,2.4,False,0.0,20.75242845460624,14.200000000000003,-16.699999999999996,1.02112676056338,120.0,43.247183098591556
107.1,50.1,0.814294,From Counter,Right Foot,0,0,0,Normal,1,1,16.383528313522707,0.6642551492395249,0.38810582223551593,0,51.60000000000002,0,11.859595271340421,120.0,36.6,0.2,False,0.0,20.1199177613033,12.900000000000006,-13.5,1.0,120.0,36.6
112.4,49.3,0.853532,Regular Play,Right Foot,1,0,0,Normal,0,1,12.010412149464308,0.885652638903024,0.4426925929118654,0,30.39999999999992,0,11.531695452100708,120.0,37.0,0.5,False,0.0,14.071425733849825,7.599999999999994,-12.299999999999997,1.0,120.0,37.0
